,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號,相關確診/疑似/個案編號
32,觀塘,麗港城 4座,,,879
0,灣仔,Tagus Residences,,,881
1,西貢,企壁山,,,882
2,灣仔,藍塘別墅,,,883
3,觀塘,彩德邨彩誠樓,,,884
4,中西區,滿峯台 B座,,,885
5,東區,華美達盛景酒店,,,886
6,屯門,錦發大廈,,,887
7,九龍城,都會軒 2座,,,888
8,南區,下碧瑤灣 33座,,,889
9,沙田,翠湖花園 C座,,,890
10,九龍城,東禧閣,,,891
11,灣仔,柏寧酒店,,,892
12,元朗,加州花園(1期 C)偉仕居紫蘭徑,,,893
13,中西區,寶德臺,,,894
14,九龍城,金城大廈,,,895
15,沙田,名城 2期 1座,,,896
16,中西區,縉城峰 2座,,,897
17,北區,下山雞乙,,,898
18,中西區,Lexington Hill,,,899
19,中西區,雍景臺,,,900
20,灣仔,永富苑,,,901
21,元朗,仁壽圍,,,902
22,西貢,寶盈花園 7座,,,903
23,屯門,新墟村,,,905
24,九龍城,愛民邨昭民樓,,,912
25,九龍城,愛民邨昭民樓,,,913
26,觀塘,高翔苑高靜閣,,,914
27,九龍城,北帝街 123號,,,915
0,中西區,些利街 2-4號,13/03/2020,"191, 217, 250, 332",
1,中西區,德己立街 44號,13/03/2020,"191, 217, 250, 332",
2,中西區,雲咸街 63號,13/03/2020,"191, 217, 373",
3,中西區,砵典乍街 45號,13/03/2020,"217, 275, 278, 284,332",
4,灣仔,頂旺大廈,14/03/2020,"169, 208",
5,中西區,御景臺,14/03/2020,"169, 208, 315",
6,離島,香港愉景灣酒店,14/03/2020,"191, 233, 237, 253,258, 259, 287, 295,332, 373",
7,油尖旺,永安廣場,14/03/2020,"191, 373",
8,油尖旺,港晶中心,14/03/2020,"233, 253, 259, 295",
9,南區,聯合工業大廈,15/03/2020,"169, 208, 277, 315,375",
10,中西區,第三街 100號,15/03/2020,"566, 618",
11,灣仔,永豐大廈,16/03/2020,"169, 208",
12,油尖旺,柯士甸道 152號,16/03/2020,"174, 222, 243, 285,286",
13,中西區,南島商業大廈,16/03/2020,"177, 178",
14,中西區,銀禧大廈,16/03/2020,"177, 178",
15,中西區,世紀廣場,16/03/2020,"184, 195",
16,中西區,加州大廈,16/03/2020,"195, 199",
17,屯門,美樂花園商場,17/03/2020,"120 , 121, 244",
18,沙田,中建電訊大廈,17/03/2020,"191, 217",
19,九龍城,香港浸信會醫院,17/03/2020,"195, 243",
20,葵青,葵德工業中心 1座,17/03/2020,"229, 337, 338",
21,中西區,中國銀行大廈,18/03/2020,"106, 183, 204",
22,沙田,中建電信大廈,18/03/2020,"191, 217, 373",
23,中西區,花園道中國工商銀行大廈,18/03/2020,"195, 339",
24,離島,東堤灣畔,19/03/2020,"212, 271",
25,深水埗,昌隆工業大廈,19/03/2020,"291, 312, 372, 391,429",
26,中西區,荷李活道 97號,20/03/2020,"266, 319",
0,中西區,荷李活道 62號,20/03/2020,"266, 342",
1,油尖旺,文遜大厦,20/03/2020,"428, 855",
2,中西區,好利商業大廈,22/03/2020,"182, 227, 276, 343,360, 362, 367, 384,386, 387, 389, 394,411, 422, 432, 433,440, 442, 453, 497,501, 511, 513, 576,627, 746, 877",
3,中西區,華懋廣場 II期,22/03/2020,"563, 683",
4,中西區,德輔道中 33號,23/03/2020,402,
