,District,BuildingName,LastDate/ReportingDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
237,Tuen Mun Town Plaza Teishoku 8,Tuen Mun,01/07/2020,"1402, 1403"
238,"HA IT Block, Kowloon Hospital",Kowloon City,02/07/2020,1292
239,"Home World (Site 12), The Whampoa",Kowloon City,02/07/2020,1296
240,"Treasure World, Site 11, Whampoa Garden",Kowloon City,02/07/2020,1296
241,Block 3 Tanner Garden,Eastern,02/07/2020,1296
242,Island Place,Eastern,02/07/2020,1296
243,113-115 Tung Choi Street,Yau Tsim Mong,02/07/2020,1296
244,Hong Kong River Trade Terminal 建榮飯堂,Tuen Mun,02/07/2020,"1269, 1427, 1432, 1490"
245,261 Castle Peak Road,Sham Shui Po,03/07/2020,1263
246,Hong Kong Disneyland Hotel,Islands,03/07/2020,1292
247,12A-12H Westlands Road Ladies & Gentlemen Restaurant,Eastern,03/07/2020,1304
248,Hysan Place Ippudo HK,Wan Chai,03/07/2020,1319
249,Dominion Centre,Wan Chai,03/07/2020,1319
250,Plaza Hollywood Mcdonald's,Wong Tai Sin,03/07/2020,1429
251,60 Yen Chow Street,Sham Shui Po,04/07/2020,1263
252,Ma On Shan Plaza,Sha Tin,04/07/2020,1292
253,Langham Place,Yau Tsim Mong,04/07/2020,1297
254,30-36 Mongkok Road Mcdonald's,Yau Tsim Mong,04/07/2020,1305
255,Diocesan Boys' School Primary Division,Kowloon City,04/07/2020,1313
256,Prudential Centre  Food Republic,Yau Tsim Mong,04/07/2020,1313
257,Belvedere Garden Phase 3 Imperial Restaurant,Tsuen Wan,04/07/2020,1313
258,Harbour City Shake Shack,Yau Tsim Mong,04/07/2020,1319
259,Causeway Bay Plaza Deluxe Daikiya Japanese Restaurant,Wan Chai,04/07/2020,1319
260,5 Luard RoadFeather & Bone,Wan Chai,04/07/2020,1319
261,8 Clear Water Bay Road Infinity Eight,Kwun Tong,04/07/2020,1322
