,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
345,"Sui Ming House, Siu Sai Wan Estate",Eastern,1987,
346,"Block B, Perfect Mount Gardens",Eastern,1988,
347,San Uk Ling Village,North,1989,
348,"Tower 5, Phase 1 The Capitol, Lohas Park",Sai Kung,1990,
349,"Ming Kok House, Ming Tak Estate",Sai Kung,1991,
350,"Hang Chun House, Cheung Hang Estate",Kwai Tsing,1992,
351,Tai On Buliding,Eastern,1993,
352,"Mun Wo House, Mun Tung Estate",Islands,1994,
353,"Mun Wo House, Mun Tung Estate",Islands,1995,
354,"Man Yue House, Tsz Man Estate",Wong Tai Sin,1996,
355,Nan Bong House,Sham Shui Po,1997,
356,"Block B, Perfect Mount Gardens",Eastern,1998,
357,"Wan Loi House, Wan Tau Tong Estate",Tai Po,1999,
358,Sai O Village,Tai Po,2000,
359,Chong Tak Building,Yau Tsim Mong,2002,
360,"Shing Choi House, Tin Shing Court",Yuen Long,2003,
361,"Choi Yan House, Choi Tak Estate",Kwun Tong,2004,
362,"King Lok House, Shan King Estate",Tuen Mun,2005,
363,"Chu Fung House, Fung Tak Estate",Wong Tai Sin,2006,
364,"Man Kin House, Tsz Man Estate",Wong Tai Sin,2007,
365,"Wang Kei House, Wang Tau Hom Estate",Wong Tai Sin,2008,
366,"Chui King House, Choi Hung Estate",Wong Tai Sin,2009,
367,"Block 1, Kai Tak Garden",Wong Tai Sin,2010,
368,"Tin Chu House, Shun Tin Estate",Kwun Tong,2011,
369,"Wing Shui House, Lek Yuen Estate",Sha Tin,2012,
370,Pak Kong Village,Sai Kung,2013,
371,"On Yan House, Tsz On Court",Wong Tai Sin,2014,
372,"Tower 5, Central Park",Yau Tsim Mong,2016,
373,"Block 3, Palm Cove",Tuen Mun,2017,
374,"Ham Tin Tsuen, Tai Wo Hau",Tsuen Wan,2018,
375,"Yee Tak Court, Tai Po Plaza",Tai Po,2019,
376,Tong Tau Po Tsuen,Yuen Long,2022,
377,"Block 10, Kwai Shing West Estate",Kwai Tsing,2023,
378,Panda Hotel,Tsuen Wan,2024,
